,Collisions,DepartDelay,Duration,Emergency Stops,Real time factor,Reason,RouteLength,Running,Teleports,TimeLoss,UPS,Waiting,WaitingTime,clustering_algorithm,dqn,reward_function,scenario,simulation_steps,traffic_light_counts,vehicles_inserted,vehicles_loaded
10,"11, Wrong Lane",4.73,646.74,162,2.0498,TraCI requested termination.,inf,4146,13,173.89,5202.509011,146,93.51,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,5500,"[4, 6, 7]",24998,25335
11,"3, Yield",7.23,649.99,140,2.03883,TraCI requested termination.,inf,4463,10,176.53,5450.554789,174,94.95,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,6000,"[4, 6, 7]",28171,29232
12,7,8.91,654.4,217,2.0289,TraCI requested termination.,inf,4689,7,179.43,5679.827927,261,96.63,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,6500,"[4, 6, 7]",31433,32009
13,"9, Jam",7.42,660.67,150,2.04597,TraCI requested termination.,inf,4804,10,183.81,6012.246936,323,99.32,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,7000,"[4, 6, 7]",34805,36088
14,13,12.66,664.89,218,2.03435,TraCI requested termination.,inf,4828,13,186.28,6193.760417,481,100.23,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,7500,"[4, 6, 7]",38194,39006
15,"7, Yield",14.3,670.1,204,2.025,TraCI requested termination.,inf,5007,9,190.02,6397.96904,579,103.14,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,8000,"[4, 6, 7]",41649,43332
16,"15, Jam",17.74,675.85,231,2.01084,TraCI requested termination.,inf,5078,20,194.73,6574.844574,547,106.16,clusters_maxabs_3dimensions,full,simpleRewardFunction,lust,8500,"[4, 6, 7]",45174,46204
17,1,0.01,269.56,12,0.485866,TraCI requested termination.,2842.76,2643,1,61.04,620.495195,4,29.54,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,500,"[1, 2, 3, 4]",2845,11748
18,"6, Yield",0.46,450.72,68,0.499099,TraCI requested termination.,5070.09,4350,7,108.63,1221.348065,14,56.33,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,1000,"[1, 2, 3, 4]",6119,20558
19,"12, Jam",0.69,575.61,104,0.493648,TraCI requested termination.,6648.57,5999,48,151.31,1667.139267,25,85.73,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,1500,"[1, 2, 3, 4]",10338,38178
20,"67, Jam",1.15,625.26,188,0.495183,TraCI requested termination.,7229.66,7538,83,163.49,2068.693627,39,90.27,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,2000,"[1, 2, 3, 4]",15454,51988
21,"67, Jam",1.37,663.46,275,0.504706,TraCI requested termination.,7595.38,9550,214,184.25,2577.52183,59,106.41,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,2500,"[1, 2, 3, 4]",21255,75265
22,"95, Jam",1.65,679.95,503,0.51114,TraCI requested termination.,7772.19,9791,190,183.79,2910.808572,54,101.73,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,3000,"[1, 2, 3, 4]",26886,90381
23,"159, Jam",1.89,711.49,447,0.508108,TraCI requested termination.,8024.58,11147,291,201.5,3245.229462,123,112.37,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,3500,"[1, 2, 3, 4]",32814,114398
24,"166, Jam",2.71,760.12,398,0.505851,TraCI requested termination.,8039.21,13598,849,248.81,3807.791094,156,157.04,clusters_maxabs_3dimensions,full,simpleRewardFunction,cgn,4000,"[1, 2, 3, 4]",38795,130615
25,,0.01,271.24,,14.2597,TraCI requested termination.,2856.94,2642,,62.08,18208.54443,2,31.06,None,simple,none,cgn,500,[None],2847,11748
26,,0.44,452.94,,18.5059,TraCI requested termination.,5027.3,4379,,113.34,45467.878205,15,61.12,None,simple,none,cgn,1000,[None],6118,20558
27,1,0.73,576.12,,18.0467,TraCI requested termination.,6743.63,5750,1,143.24,59634.02787,18,76.95,None,simple,none,cgn,1500,[None],10345,38178
28,"2, Wrong Lane",1.19,627.51,,17.2166,TraCI requested termination.,7365.97,7131,3,158.45,70458.937406,29,84.78,None,simple,none,cgn,2000,[None],15464,51988
29,"2, Wrong Lane",1.46,655.82,,16.5206,TraCI requested termination.,7668.5,8577,3,168.25,80170.734607,32,89.86,None,simple,none,cgn,2500,[None],21282,75265
30,"2, Yield",1.72,681.19,,14.3102,TraCI requested termination.,7890.07,9103,8,179.17,79053.969768,28,95.7,None,simple,none,cgn,3000,[None],26912,90381
31,"2, Yield",1.87,706.84,,11.6842,TraCI requested termination.,8103.16,9621,11,191.14,70982.815759,49,102.13,None,simple,none,cgn,3500,[None],32888,114398
32,"3, Jam",2.03,724.89,,8.93031,TraCI requested termination.,8195.75,10136,17,200.57,58434.895374,62,106.9,None,simple,none,cgn,4000,[None],38889,130615
33,"3, Jam",2.17,742.84,,8.92822,TraCI requested termination.,8311.72,10731,21,208.93,62336.618187,58,111.39,None,simple,none,cgn,4500,[None],44958,154828
34,"3, Jam",2.35,760.13,,10.1151,TraCI requested termination.,8421.37,11245,29,217.89,74560.070711,63,116.52,None,simple,none,cgn,5000,[None],51105,171691
