Successrate; Neg_Rewards; LearninRate; Discount; Exploration;;;;;;;
0,958;-1117;0,16;0,27;;;;;;;;
0,98;-1214;0,17;0,27;;;;;;;;
0,962;-1162;0,18;0,27;;;;;;;;
0,954;-1167;0,19;0,27;;;;;;;;
0,964;-1146;0,2;0,27;;;;;;;;
0,972;-1110,5;0,21;0,27;;;;;;;;
0,968;-1088;0,22;0,27;;;;;;;;
0,972;-1165;0,23;0,27;;;;;;;;
0,966;-1124;0,24;0,27;;;;;;;;
0,965;-1082,5;0,25;0,27;;;;;;;;
0,968;-1118;0,26;0,27;;;;;;;;
0,965;-1181,5;0,27;0,27;;;;;;;;
0,965;-1081;0,28;0,27;;;;;;;;
0,952;-1148,5;0,08;0,28;;;;;;;;
0,963;-1259;0,09;0,28;;;;;;;;
0,954;-1336,5;0,1;0,28;;;;;;;;
0,954;-1193,5;0,11;0,28;;;;;;;;
0,965;-1241;0,12;0,28;;;;;;;;
0,966;-1163,5;0,13;0,28;;;;;;;;
0,961;-1137,5;0,14;0,28;;;;;;;;
0,964;-1119,5;0,15;0,28;;;;;;;;
0,954;-1276,5;0,16;0,28;;;;;;;;
0,968;-1097,5;0,17;0,28;;;;;;;;
0,971;-1161,5;0,18;0,28;;;;;;;;
0,971;-1142,5;0,19;0,28;;;;;;;;
0,96;-1195,5;0,2;0,28;;;;;;;;
0,964;-1076,5;0,21;0,28;;;;;;;;
0,965;-1091,5;0,22;0,28;;;;;;;;
0,964;-1151,5;0,23;0,28;;;;;;;;
0,968;-1197,5;0,24;0,28;;;;;;;;
0,966;-1087;0,25;0,28;;;;;;;;
0,971;-1011,5;0,26;0,28;;;;;;;;
0,966;-1130,5;0,27;0,28;;;;;;;;
0,916;-1172;0,28;0,28;;;;;;;;
0,971;-1226;0,08;0,29;;;;;;;;
0,955;-1196;0,09;0,29;;;;;;;;
0,945;-1153,5;0,1;0,29;;;;;;;;
0,964;-1298;0,11;0,29;;;;;;;;
0,963;-1163;0,12;0,29;;;;;;;;
0,97;-1138;0,13;0,29;;;;;;;;
0,961;-1143,5;0,14;0,29;;;;;;;;
0,957;-1143;0,15;0,29;;;;;;;;
0,956;-1220,5;0,16;0,29;;;;;;;;
0,971;-1145;0,17;0,29;;;;;;;;
0,957;-1144,5;0,18;0,29;;;;;;;;
0,978;-1319,5;0,19;0,29;;;;;;;;
0,956;-1146;0,2;0,29;;;;;;;;
0,976;-1102,5;0,21;0,29;;;;;;;;
0,974;-1125,5;0,22;0,29;;;;;;;;
0,957;-1164;0,23;0,29;;;;;;;;
0,979;-1066,5;0,24;0,29;;;;;;;;
0,974;-1129,5;0,25;0,29;;;;;;;;
0,976;-1116,5;0,26;0,29;;;;;;;;
0,97;-1156;0,27;0,29;;;;;;;;
0,944;-1270,5;0,28;0,29;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;iteration; 91 state;['wp_left' 'green' 'on_none' 'lf_none' 'rg_none'] action;left reward;-0.5 random;True
;;;;;;iteration: 92 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 93 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 93 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 95 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:left reward:-1.0 random:True;;;;;
;;;;;;iteration: 96 state:['wp_right' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-0.5 random:True;;;;;
;;;;;;iteration: 98 state:['wp_right' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:True;;;;;
;;;;;;iteration: 98 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 100 state:['wp_right' 'red' 'on_none' 'lf_none' 'rg_none'] action:left reward:-1.0 random:False;;;;;
;;;;;;iteration: 100 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
