,junction_id,junction_type,x,y,z,isRoundabout,connections,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_connections,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_robust_3dimensions,clusters_combined_3dimensions,clusters_combined_robust_3dimensions
43,143393761,traffic_light,17956.75,16719.07,,False,"[[['-31797298', '31797298', '143393761', 't', 'o']], [['-31797298', '31797298', '143393761', 't', 'o']], [['154546803#1', '-134892781#1', '143393761', 't', 'o']], [['154546803#1', '-134892781#1', '143393761', 't', 'o']], [['-14562995#2', '14562995#0', '143393761', 't', 'o']]]",12.778,2.224,163.842,58.928382771,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.residential']",8.0,5,,0,0,0,0,,0,0,6,0,0,0
44,143500528,traffic_light,17958.02,15960.94,,False,"[[['-14567595#2', '14567595#2', '143500528', 't', 'o']], [['-292052843', '292052843', '143500528', 't', 'o']], [['14567595#0', '-14567595#1', '143500528', 't', 'o']], [['292052842', '-331032365', '143500528', 't', 'o']], [['292052842', '-331032365', '143500528', 't', 'o']]]",11.666,2.72383259397,124.106,39.3290170739,"['highway.residential', 'highway.primary', 'highway.residential', 'highway.primary', 'highway.primary']",7.0,5,,0,0,0,0,,0,0,6,0,8,0
45,1446058758,traffic_light,16528.19,14111.92,,False,"[[['-176886893#1', '176886893#0', '1446058758', 't', 'o']], [['37131472#0', '-338407179#1', '1446058758', 't', 'o']], [['37131472#0', '-338407179#1', '1446058758', 't', 'o']], [['226991210#0', '-226991210#1', '1446058758', 't', 'o']], [['-131382643#1', '131382643#0', '1446058758', 't', 'o']], [['-131382643#1', '131382643#0', '1446058758', 't', 'o']]]",13.89,0.0,101.291666667,94.1618807191,"['highway.unclassified', 'highway.primary', 'highway.primary', 'highway.unclassified', 'highway.primary', 'highway.primary']",7.66666666667,6,,0,0,0,0,,0,0,5,1,3,0
46,1456574967,traffic_light,15395.34,13593.96,,False,"[[['132405219#4', '-132405219#4', '1456574967', 't', 'o']], [['210469109#1', '210469109#2', '1456574967', 's', 'o']]]",13.89,0.0,77.225,8.255,"['highway.residential', 'highway.secondary']",5.5,2,,0,0,0,0,,0,0,2,2,1,0
47,1456575149,traffic_light,15695.28,13965.24,,False,"[[['132405330#0', '132405275', 'GS_1456575149', 's', 'o']], [['52583987#0', '132405374#1', 'cluster_1298564735_2619841549_2619841555_2619841577_449786_449787_449788_449789_449790_668007838', 'r', 'o'], ['132405374#1', '132405275', 'GS_1456575149', 's', 'o']], [['52583987#0', '132405374#1', 'cluster_1298564735_2619841549_2619841555_2619841577_449786_449787_449788_449789_449790_668007838', 'r', 'o'], ['132405374#1', '132405275', 'GS_1456575149', 's', 'o']], [['52583987#0', '132405374#1', 'cluster_1298564735_2619841549_2619841555_2619841577_449786_449787_449788_449789_449790_668007838', 'r', 'o'], ['132405374#1', '132405275', 'GS_1456575149', 's', 'o']], [['52583987#0', '132405374#1', 'cluster_1298564735_2619841549_2619841555_2619841577_449786_449787_449788_449789_449790_668007838', 'r', 'o'], ['132405374#1', '132405275', 'GS_1456575149', 's', 'o']]]",13.89,0.0,37.43,3.32,"['highway.secondary_link', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary']",8.4,5,,0,0,0,0,,0,0,5,2,8,0
48,1456583615,traffic_light,16483.37,14322.53,,False,"[[['-34851848', '34851848', '1456583615', 't', 'o']], [['-70913328#1', '70913328#0', '1456583615', 't', 'o']], [['-70913328#1', '70913328#0', '1456583615', 't', 'o']], [['258932624#0', '-258932624#1', '1456583615', 't', 'o']], [['338407178#1', '132406519#0', '1456583615', 'l', 'o']], [['338407178#1', '132406519#0', '1456583615', 'l', 'o']], [['338407178#1', '132406519#0', '1456583615', 'l', 'o']]]",13.0957142857,1.94559470998,46.6671428571,10.1328951078,"['highway.unclassified', 'highway.primary', 'highway.primary', 'highway.residential', 'highway.trunk', 'highway.trunk', 'highway.trunk']",8.57142857143,7,,0,0,0,0,,0,0,6,2,0,0
49,1456583655,traffic_light,15990.01,14586.34,,False,"[[['-157285909#6', '157285909#0', 'GS_1456583655', 't', 'o']], [['201967062#0', '201967063#0', 'GS_1456583655', 'l', 'o']]]",8.33,0.0,101.16,71.26,"['highway.residential', 'highway.residential']",4.0,2,,0,0,0,0,,0,0,0,8,8,0
50,1456583679,traffic_light,15863.1,14660.22,,False,"[[['132406484#3', '132406503', 'GS_1456583679', 's', 'o']], [['132406500#0', '132406503', 'GS_1456583679', 's', 'o']], [['132406500#0', '132406503', 'GS_1456583679', 's', 'o']]]",13.89,0.0,33.3966666667,14.5899699185,"['highway.residential', 'highway.primary', 'highway.primary']",7.33333333333,3,,0,0,0,0,,0,0,6,2,0,0
51,1456583681,traffic_light,15818.5,14654.39,,False,"[[['132406501#0', '132406502#2', 'GS_1456583681', 's', 'o']]]",13.89,0.0,7.22,0.0,['highway.primary_link'],8.0,1,,0,0,0,0,,0,0,1,2,3,0
52,1456583691,traffic_light,15752.13,14660.2,,False,"[[['132406494#0', '132406490#0', 'GS_1456583691', 's', 'o']], [['132406494#0', '132406490#0', 'GS_1456583691', 's', 'o']]]",13.89,0.0,70.44,0.0,"['highway.primary_link', 'highway.primary_link']",8.0,2,,0,0,0,0,,0,0,1,2,5,0
53,1456583705,traffic_light,15862.55,14719.9,,False,"[[['132406508#0', '202013102#0', 'GS_1456583705', 's', 'o']], [['132406508#0', '202013102#0', 'GS_1456583705', 's', 'o']], [['132406508#0', '202013102#0', 'GS_1456583705', 's', 'o']], [['132406509#0', '132406496#0', 'GS_73523271', 'l', 'o'], ['132406496#0', '132406498', 'GS_1456583705', 's', 'o']], [['132406509#0', '132406496#0', 'GS_73523271', 'l', 'o'], ['132406496#0', '132406498', 'GS_1456583705', 's', 'o']]]",13.89,0.0,17.184,2.62585300426,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.primary', 'highway.primary']",7.8,5,,0,0,0,0,,0,0,8,2,5,0
